1,5
2,7
3,11
4,13
5,17
6,19
7,23
8,29
9,31
10,37
11,41
12,43
13,47
14,53
15,59
16,61
17,67
18,71
19,73
20,79
21,83
22,89
23,97
24,127
25,131
26,137
27,139
28,149
29,151
30,157
31,163
32,167
33,173
34,179
35,181
36,191
37,193
38,197
39,199
40,239
41,241
42,251
43,257
44,263
45,269
46,271
47,277
48,281
49,283
50,293
51,337
52,347
53,349
54,353
55,359
56,367
57,373
58,379
59,383
60,389
61,397
62,433
63,439
64,443
65,449
66,457
67,461
68,463
69,467
70,479
71,487
72,491
73,499
74,547
75,557
76,563
77,569
78,571
79,577
80,587
81,593
82,599
83,631
84,641
85,643
86,647
87,653
88,659
89,661
90,673
91,677
92,683
93,691
94,739
95,743
96,751
97,757
98,761
99,769
100,773
101,787
102,797
103,829
104,839
105,853
106,857
107,859
108,863
109,877
110,881
111,883
112,887
113,941
114,947
115,953
116,967
117,971
118,977
119,983
120,991
121,997
